latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,
60.543304,3.2141266,0,0,GMT,GMT,,,,,,,,,,
,,,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°),cloud_cover (%),surface_pressure (hPa),pressure_msl (hPa),weather_code (wmo code),wave_height (m),wave_direction (°),wind_wave_height (m),wind_wave_direction (°),ocean_current_velocity (km/h),ocean_current_direction (°),sea_surface_temperature (°C)
2025-02-05T18:00,7.9,66,31.3,261,30,1031,1031,1,3.04,259,1.3,246,0.8,135,NaN
2025-02-05T19:00,7.9,67,29.9,260,74,1032.2,1032.2,2,3,260,1.22,243,0.6,124,NaN
2025-02-05T20:00,7.9,68,29.2,258,79,1033.3,1033.3,2,2.94,261,1.16,240,0.6,108,NaN
2025-02-05T21:00,7.8,69,29.9,254,89,1034.2,1034.2,3,2.9,262,1.08,237,0.5,90,NaN
2025-02-05T22:00,7.8,71,29.5,249,60,1034.9,1034.9,2,2.88,263,1.02,235,0.7,76,NaN
2025-02-05T23:00,7.8,75,28.4,242,37,1035.6,1035.6,1,2.86,265,0.98,233,0.8,63,NaN
2025-02-06T00:00,7.9,78,29.2,229,38,1036.5,1036.5,1,2.84,266,0.92,231,0.9,53,NaN
2025-02-06T01:00,7.8,79,31.7,227,66,1037.2,1037.2,2,2.8,267,1,227,1,59,NaN
2025-02-06T02:00,7.8,81,33.1,223,27,1038,1038,1,2.76,268,1.08,224,1,59,NaN
2025-02-06T03:00,7.8,82,35.3,221,1,1038.5,1038.5,0,2.72,269,1.16,220,1,59,NaN
2025-02-06T04:00,7.8,82,36,215,18,1039.3,1039.3,0,2.82,268,1.26,217,1,59,NaN
2025-02-06T05:00,7.8,84,36.7,210,4,1039.9,1039.9,0,2.9,268,1.36,213,1,68,NaN
2025-02-06T06:00,7.8,85,37.4,205,36,1040.4,1040.4,1,3,267,1.46,210,1,59,NaN
2025-02-06T07:00,7.8,86,38.9,202,61,1041.1,1041.1,2,2.94,266,1.48,208,0.9,53,NaN
2025-02-06T08:00,7.8,86,37.1,210,38,1041.8,1041.8,1,2.9,266,1.5,206,1,45,NaN
2025-02-06T09:00,7.9,87,34.2,207,52,1042.6,1042.6,2,2.84,265,1.52,204,1,45,NaN
2025-02-06T10:00,7.9,88,35.3,202,89,1043.1,1043.1,3,2.82,263,1.54,202,1,31,NaN
2025-02-06T11:00,7.9,88,36.4,200,98,1043.4,1043.4,3,2.8,262,1.54,199,1.2,27,NaN
2025-02-06T12:00,8.1,86,39.6,200,99,1043.3,1043.3,3,2.78,260,1.56,197,1.2,27,NaN
